Dates,MSCI World Net Total Return Lo,Bloomberg Commodity Index,S&P GSCI Energy Official Close,S&P GSCI Industrial Metals Off,S&P GSCI Precious Metals Offic,S&P GSCI Agriculture Official,S&P GSCI Gold Official Close I,YoY % NSA
30/10/1987,0.100195513,0.113441031,0.409005667,0.436005141,0.06413203,0.014090426,0.091899277,0.05
30/11/1987,0.010545025,0.141342449,0.3275552,0.922325953,0.161773159,0.054092072,0.177890515,0.04
31/12/1987,0.000482427,0.094728949,0.067293663,1.392405172,0.11046034,0.086002707,0.123785747,0.04
29/01/1988,-0.032894891,0.075017506,0.032948744,0.820384456,0.015937912,0.089170237,0.045395628,0.03
29/02/1988,-0.00237344,0.103998258,0.138864184,0.72807859,-0.024870311,0.067916344,-0.011628443,0.03
31/03/1988,-0.032927867,0.089719868,0.06124644,1.140613356,-0.006674408,0.084859716,0.010434039,0.04
29/04/1988,-0.055757668,0.046388783,0.11620266,0.932064879,-0.112669981,0.008762452,-0.075209385,0.04
31/05/1988,-0.082573417,0.067539639,0.049050701,0.854624399,-0.06571164,0.080859597,-0.057582089,0.04
30/06/1988,-0.053349237,0.098706995,-0.115844033,0.964316827,-0.094550906,0.311791707,-0.095339298,0.05
29/07/1988,-0.064858569,0.031028426,-0.100999343,0.704281286,-0.146956574,0.204963568,-0.121704036,0.05
31/08/1988,-0.131911438,0.062521676,-0.096183388,0.957373044,-0.120767405,0.237689558,-0.105352106,0.06
30/09/1988,-0.096546426,-0.007519363,-0.178929371,1.000192419,-0.191268342,0.197746929,-0.18830247,0.06
31/10/1988,0.148626396,0.002208283,-0.138368248,1.500723583,-0.153882036,0.189435751,-0.178183485,0.06
30/11/1988,0.233128822,0.005020358,0.035889447,1.041891995,-0.15317333,0.133849357,-0.193367062,0.06
30/12/1988,0.262427818,0.09061278,0.236383558,0.668789733,-0.181343434,0.204554619,-0.21270707,0.07
31/01/1989,0.267776497,0.062981542,0.228808529,1.341667356,-0.155644661,0.141358037,-0.194721166,0.08
28/02/1989,0.174875159,0.107341868,0.365883288,1.300329375,-0.118547487,0.169191883,-0.1567883,0.08
