Dates,MSCI World Net Total Return Lo,Bloomberg Commodity Index,S&P GSCI Energy Official Close,S&P GSCI Industrial Metals Off,S&P GSCI Precious Metals Offic,S&P GSCI Agriculture Official,S&P GSCI Gold Official Close I,UK RPI MOM
30/05/1997,0.042363452,0.010428822,0.024419269,0.018928647,0.013477788,-0.038935932,0.01043074,0.004
30/06/1997,0.049077879,-0.061476198,-0.061824218,-0.017335206,-0.024939712,-0.100288772,-0.035108396,0.004
31/07/1997,0.064527397,0.027971476,0.031622399,0.032930836,-0.026932534,0.064173485,-0.030802558,0
29/08/1997,-0.066227185,-0.005154134,0.047765498,-0.037662707,-0.003303859,0.017138279,-0.00365094,0.006
30/09/1997,0.051523229,0.006669875,0.066629488,-0.017290656,0.041458933,-0.061031946,0.029016365,0.005
31/10/1997,-0.061028918,-0.000270053,0.033758069,-0.041765127,-0.075124178,0.037158134,-0.073612674,0.001
28/11/1997,0.031286286,-0.043548232,-0.153891697,-0.050594891,-0.03153778,-0.016801212,-0.047310209,0.001
31/12/1997,0.023014125,-0.04450201,-0.094197956,-0.044070756,-0.010167529,-0.049160332,-0.029136549,0.003
30/01/1998,0.028971147,-0.000516147,-0.038590065,-0.01645071,0.042713669,0.010645701,0.045276688,-0.003
27/02/1998,0.063241149,-0.04679082,-0.093178753,-0.038641819,-0.004960363,-0.03995299,-0.01477383,0.005
31/03/1998,0.051852789,-0.001617791,-0.005566412,0.003697015,0.007306808,-0.032397307,0.004676913,0.003
30/04/1998,0.002388912,-0.01720585,-0.035660017,0.006938783,0.007276932,-0.071342967,0.015165598,0.011
29/05/1998,-0.005551587,-0.053125902,-0.063682702,-0.06049096,-0.065424852,-0.024786257,-0.048424219,0.006
30/06/1998,0.025581724,-0.025831803,-0.069564326,-0.049106735,0.015021291,0.00478584,0.010166588,-0.001
31/07/1998,0.001405291,-0.064288562,-0.09880683,0.01866781,-0.03183106,-0.079516028,-0.039526985,-0.002
31/08/1998,-0.138185832,-0.067368575,-0.07147689,-0.020561326,-0.051872863,-0.072550339,-0.039933086,0.004
30/09/1998,-0.001245747,0.073337392,0.18556003,-0.02480802,0.073548385,0.017660565,0.072069515,0.004
30/10/1998,0.071425451,-0.033053758,-0.112488956,-0.019300341,-0.024045412,0.038332761,-0.017724695,0.001
30/11/1998,0.072198683,-0.075607441,-0.224421636,-0.00237506,-0.003108669,-0.009734017,-0.002681348,-0.001
31/12/1998,0.03579558,-0.037626508,0.017935657,-0.054803987,-0.012554231,-0.05656783,-0.019995298,0
29/01/1999,0.033060166,-0.007889186,0.004097905,-0.021725135,-0.008286154,-0.024490011,-0.010623485,-0.006
26/02/1999,-0.014424922,-0.038189429,-0.062336616,0.003974864,0.013626053,-0.092699895,0.000345564,0.002
31/03/1999,0.044016306,0.091344282,0.341233701,0.002778812,-0.038687484,0.06222069,-0.028234501,0.002
30/04/1999,0.043848571,0.036714448,0.077161453,0.105675461,0.024329377,-0.06300866,0.020930386,0.007
31/05/1999,-0.030805989,-0.064750891,-0.07987736,-0.097955389,-0.058926834,-0.004968631,-0.060815896,0.002
30/06/1999,0.049908723,0.051439439,0.128841105,0.107313167,-0.020851476,-0.026157556,-0.030885053,0
30/07/1999,-0.019605058,0.013662327,0.067990993,0.005405354,-0.02066396,-0.038736862,-0.027448355,-0.003
31/08/1999,-0.003630735,0.053548459,0.088598704,0.057593757,-0.008927277,0.029717471,-0.005795603,0.002
30/09/1999,-0.018533217,0.0478827,0.076894458,0.017359946,0.151217164,-0.021286996,0.16400776,0.004
29/10/1999,0.052431199,-0.043401215,-0.081507538,-0.007929735,-0.003914755,-0.025221649,0.002672595,0.002
30/11/1999,0.03746337,0.018829857,0.06484212,0.016040772,-0.021086102,-0.03390059,-0.029525218,0.001
31/12/1999,0.080270562,0.024251735,0.060543767,0.05127224,-0.002999522,-0.006454796,-0.011603176,0.004
31/01/2000,-0.046065186,0.049220142,0.099671201,0.00619692,-0.012378213,0.028721072,-0.019066891,-0.004
29/02/2000,0.01277841,0.012893676,0.115583168,-0.056847962,0.021722622,-0.033602528,0.027950491,0.005
31/03/2000,0.059361243,0.004696971,-0.041324572,-0.006562945,-0.040332754,0.038816021,-0.052213115,0.005
28/04/2000,-0.022945151,-0.016667039,-0.00748873,-0.024806606,-0.018805954,-0.044311213,-0.023809595,0.01
31/05/2000,-0.02449698,0.061527616,0.178205596,-0.020226313,-0.001261829,0.034649515,-0.009534342,0.004
30/06/2000,0.020955286,0.018680975,0.120908164,0.031256057,0.053670995,-0.07836009,0.060773174,0.002
31/07/2000,-0.014881329,-0.054975096,-0.11546281,0.005853594,-0.034138159,-0.017743928,-0.048812826,-0.004
31/08/2000,0.041012654,0.092573663,0.232216483,0.019087313,-0.002885432,0.019668601,-0.003882154,0
29/09/2000,-0.050395008,-0.011043768,-0.028202778,0.008944162,-0.018547,-0.019225345,-0.018433844,0.007
31/10/2000,-0.004746007,-0.029489133,0.005751191,-0.069259498,-0.031615942,-0.011296608,-0.037919596,-0.001
30/11/2000,-0.062510597,0.074838856,0.124865298,7.37E-06,0.016159619,0.014181937,0.015887201,0.003
29/12/2000,-0.004020501,0.027091985,-0.043380308,0.008814415,0.000510482,0.005354255,0.001100374,0.001
31/01/2001,0.026029918,-0.028259348,-0.073513356,0.02730677,-0.020815579,-0.047029503,-0.028923362,-0.006
28/02/2001,-0.078678279,-0.008043134,-0.025723685,-0.035176723,-0.005695881,-0.030267736,-0.000746924,0.005
30/03/2001,-0.04786838,-0.046226105,-0.032088491,-0.055514569,-0.04669011,-0.090716874,-0.03842785,0.001
30/04/2001,0.069750449,0.031666947,0.067311207,0.028529663,0.026920334,0.031652649,0.020060545,0.005
31/05/2001,-0.007102115,-0.024079994,-0.038262098,-0.021494906,0.007160728,-0.046482978,0.005780968,0.006
29/06/2001,-0.025401501,-0.042605956,-0.1079011,-0.050972633,0.002965633,-0.016265722,0.016485534,0.001
31/07/2001,-0.021280574,0.009837483,-0.002553761,-0.043714865,-0.029764488,0.033557873,-0.016638482,-0.006
31/08/2001,-0.062263758,-0.00336551,0.020419985,-0.014409228,0.015382332,-0.024035795,0.027118089,0.004
28/09/2001,-0.088998934,-0.069627008,-0.13818568,-0.059458839,0.059751351,-0.077412538,0.063288999,0.003
31/10/2001,0.025292818,-0.049417972,-0.073058035,-0.044601826,-0.048945197,-0.006334967,-0.045915684,-0.002
30/11/2001,0.062491282,0.006099079,-0.109434663,0.132055797,-0.013829991,0.027102056,-0.022074164,-0.004
31/12/2001,0.010930586,-0.021165696,-0.007803624,-0.05973452,0.02908713,-0.038918262,0.014917205,-0.001
31/01/2002,-0.019522389,-0.008136282,-0.05245097,0.028733998,-0.004247179,-0.019974445,0.011423848,-0.001
28/02/2002,-0.01004278,0.024535466,0.080818329,0.003183858,0.054610689,-0.025429586,0.050191386,0.003
29/03/2002,0.039896125,0.100714447,0.216678108,0.022082386,0.024823589,0.032635006,0.01893526,0.004
30/04/2002,-0.045864587,-0.001576498,0.038334332,-0.014450054,0.015277704,-0.053928064,0.018112007,0.007
31/05/2002,-0.010922376,-0.016855944,-0.076541372,-0.003134369,0.057135981,0.066158904,0.055716559,0.003
28/06/2002,-0.077354391,0.018040035,0.036790397,0.004787921,-0.03915685,0.042559644,-0.041526381,0
31/07/2002,-0.084373535,-0.006953495,-0.007098152,-0.074784205,-0.034120447,0.067874423,-0.03444671,-0.002
30/08/2002,0.001641521,0.037990899,0.086836701,-0.004387305,0.027716356,0.042381393,0.028504503,0.003
30/09/2002,-0.110473827,0.036200732,0.055642907,-0.027726873,0.030694328,0.023540171,0.035999125,0.007
31/10/2002,0.073984206,-0.011679836,-0.086622528,0.064376468,-0.015787036,0.017479217,-0.020910857,0.002
29/11/2002,0.053490183,0.001845739,-0.003387819,0.036812938,-0.003592351,-0.029533885,-0.004361188,0.002
31/12/2002,-0.064238273,0.047782021,0.154175778,-0.049933146,0.089169206,-0.061123907,0.095658978,0.002
31/01/2003,-0.036528421,0.075885327,0.117569903,0.076404953,0.05459767,0.021042653,0.057335164,-0.001
28/02/2003,-0.016342548,0.032718918,0.187582846,0.002594473,-0.05133908,-0.023421424,-0.050933553,0.005
31/03/2003,-0.005404163,-0.07635045,-0.186837553,-0.067068158,-0.03960466,-0.028598401,-0.040517472,0.003
30/04/2003,0.082659006,-0.007169688,-0.095405648,0.014584558,0.009985317,-0.008786042,0.007420363,0.007
30/05/2003,0.04237822,0.057510046,0.12559998,0.052745032,0.066186934,0.027326745,0.074665065,0.002
30/06/2003,0.020972353,-0.025529934,0.019537862,-0.03472214,-0.048330598,-0.041685682,-0.05278886,-0.001
31/07/2003,0.028492958,0.005242349,-0.005387319,0.08533827,0.030984796,0.015057119,0.022988966,0
29/08/2003,0.024351804,0.03869245,0.037754384,-0.020385754,0.053708028,0.06018783,0.059020902,0.002
30/09/2003,-0.015557695,-4.96E-06,-0.066470341,0.009624144,0.022765992,-0.008277844,0.024681442,0.005
31/10/2003,0.054291168,0.046923931,-0.002665709,0.11706456,-0.004800505,0.066358162,-0.003885456,0.001
28/11/2003,0.006509033,-0.003823947,0.034817699,0.009771114,0.034272093,-0.005080503,0.032088324,0.001
31/12/2003,0.044965944,0.072821263,0.106660422,0.102856337,0.050739822,-0.014292606,0.045476019,0.004
30/01/2004,0.01690433,0.017380974,-0.01228743,0.032774159,-0.026800272,0.045835028,-0.03404223,-0.002
27/02/2004,0.017777944,0.06412672,0.088398154,0.079243417,-0.006792828,0.038989199,-0.015138427,0.004
31/03/2004,-0.009000412,0.029993554,0.013068974,-0.001216015,0.08773489,0.024587371,0.076702769,0.004
30/04/2004,-0.003869578,-0.018503393,0.059849847,-0.082436913,-0.111047128,-0.0311563,-0.095259206,0.006
31/05/2004,0.001631087,0.016145636,0.072647998,0.04495929,0.015120693,-0.060573589,0.016404404,0.004
30/06/2004,0.021212055,-0.042562144,-0.052323663,0.012908494,-0.009584651,-0.080748096,-0.004811494,0.002
30/07/2004,-0.028904404,0.016525311,0.131175527,0.010215904,0.007498612,-0.10672857,-0.005023279,0
31/08/2004,0.001680119,-0.019517969,-0.057428393,-0.023635836,0.046012975,0.038203976,0.047497985,0.003
30/09/2004,0.01285337,0.06700586,0.177036726,0.120328572,0.019306909,-0.080139464,0.019397914,0.004
29/10/2004,0.012323426,0.015499898,0.060371674,-0.040673516,0.02460253,-0.008016602,0.021407394,0.003
30/11/2004,0.033341707,-0.013779545,-0.072547196,0.044552413,0.051401179,-0.017695945,0.050643099,0.002
31/12/2004,0.033498307,-0.050855247,-0.141326929,0.050625879,-0.041921147,0.016927204,-0.032657222,0.005
31/01/2005,-0.00991255,0.008353451,0.100691312,-0.025127588,-0.035233229,-0.031685949,-0.03762836,-0.005
28/02/2005,0.024966523,0.068552276,0.059962253,0.05648368,0.037659955,0.113651701,0.031833215,0.004
31/03/2005,-0.01007397,0.033197417,0.100076714,0.025468619,-0.021500407,-0.023916359,-0.020616805,0.005
29/04/2005,-0.022879696,-0.06045755,-0.115570181,-0.043139823,0.006225354,-0.023439416,0.011597743,0.006
31/05/2005,0.035534806,-0.010289302,-0.008612072,-0.024850759,-0.03345289,0.006763357,-0.04535108,0.002
30/06/2005,0.016818302,0.014313949,0.081872369,0.007422822,0.032364693,-0.022744214,0.043448613,0.001
29/07/2005,0.037586044,0.042155979,0.061935091,0.058716188,-0.012321555,0.014517603,-0.0166911,0
31/08/2005,0.000846074,0.072095204,0.200217618,0.022367594,-0.002181762,-0.079411015,0.005278686,0.002
30/09/2005,0.032869514,0.043509263,-0.010815373,0.014966517,0.079819608,0.020997889,0.078063195,0.003
31/10/2005,-0.01915697,-0.06581875,-0.132467812,0.050167717,-0.009380559,-0.033989175,-0.011432052,0.001
